gameId,championId,point
3019338654,133,110180.0
3019338654,18,53438.0
3019338654,268,33602.0
3019338654,20,4525.0
3024159859,23,89413.0
3024159859,432,15449.0
3024159859,157,295063.0
3024159859,145,3790.0
3024159859,85,6698.0
3024159859,84,23770.0
3024159859,5,27973.0
3024159859,101,419.0
3024159859,222,38292.0
3024159859,111,186683.0
3023781154,81,26928.0
3023781154,16,19141.0
3023781154,50,7087.0
3023781154,4,38647.0
3023781154,120,36157.0
3023781154,80,8461.0
3023781154,240,53754.0
3023781154,77,71577.0
3023781154,222,138374.0
3023781154,111,186683.0
3023745311,84,14635.0
3023745311,114,159721.0
3023745311,111,22285.0
3023745311,67,143818.0
3023745311,107,52599.0
3023745311,63,706369.0
3023745311,498,65405.0
3023745311,39,12917.0
3023745311,10,1885.0
3023745311,79,20871.0
3023450413,498,165490.0
3023450413,497,38752.0
3023450413,107,58206.0
3023450413,14,2495.0
3023450413,103,1931.0
3023450413,157,58026.0
3023450413,54,94913.0
3023450413,117,66656.0
3023450413,145,14015.0
3023450413,64,70488.0
3023278936,236,155650.0
3023278936,63,706369.0
3023278936,113,14450.0
3023278936,31,33762.0
3023278936,420,156012.0
3023278936,161,61877.0
3023278936,222,15865.0
3023278936,412,223539.0
3023278936,75,462472.0
3023278936,32,34785.0
3023262178,202,33914.0
3023262178,497,38752.0
3023262178,75,127512.0
3023262178,141,34430.0
3023262178,245,27393.0
3023262178,10,58394.0
3023262178,16,180981.0
3023262178,22,56957.0
3023262178,11,149373.0
3023262178,268,27757.0
3022220341,145,5963.0
3022220341,35,377333.0
3022220341,201,3287.0
3022220341,54,10590.0
3022220341,39,74543.0
3022220341,21,840360.0
3022220341,63,706369.0
3022220341,62,8746.0
3022220341,238,28399.0
3022220341,28,403251.0
3022173509,17,133715.0
3022173509,29,40347.0
3022173509,99,285182.0
3022173509,53,14583.0
3022173509,203,20390.0
3022173509,13,12541.0
3022173509,126,25074.0
3022173509,37,263054.0
3022173509,110,37112.0
3022173509,20,146427.0
3022128274,59,9630.0
3022128274,236,59044.0
3022128274,7,30429.0
3022128274,267,71787.0
3022128274,86,37874.0
3022128274,90,165875.0
3022128274,421,10922.0
3022128274,10,3205.0
3022128274,51,110683.0
3022128274,63,706369.0
3021648147,145,14527.0
3021648147,26,184054.0
3021648147,1,19617.0
3021648147,72,4751.0
3021648147,14,12416.0
3021648147,161,6368.0
3021648147,24,17387.0
3021648147,421,34411.0
3021648147,222,297505.0
3021648147,84,6082.0
3020353121,55,398061.0
3020353121,412,45742.0
3020353121,75,6331.0
3020353121,222,747935.0
3020353121,24,54402.0
3020353121,63,706369.0
3020353121,202,512289.0
3020353121,67,31543.0
3020353121,82,8403.0
3020353121,107,60031.0
3019306322,517,3712.0
3019306322,29,71471.0
3019306322,254,15145.0
3019306322,111,186683.0
3019306322,101,7599.0
3019306322,21,281609.0
3019306322,141,114699.0
3019306322,38,2346.0
3019306322,10,28553.0
3019306322,63,170560.0
3023372556,54,60475.0
3023372556,20,9376.0
3023372556,91,15359.0
3023372556,222,20619.0
3023372556,25,3408.0
3023372556,13,13817.0
3023372556,28,129931.0
3023372556,24,67909.0
3023372556,236,208294.0
3023372556,117,320641.0
3023316783,126,158937.0
3023316783,111,73099.0
3023316783,67,1941.0
3023316783,64,190957.0
3023316783,99,169934.0
3023316783,517,1084.0
3023316783,42,86618.0
3023316783,45,93765.0
3023316783,40,16494.0
3023316783,203,4276.0
3023290918,24,9568.0
3023290918,44,4911.0
3023290918,11,12508.0
3023290918,67,68130.0
3023290918,111,78078.0
3023290918,157,83427.0
3023290918,267,878750.0
3023290918,96,6405.0
3023290918,58,103969.0
3023290918,79,20123.0
3023282078,142,66835.0
3023282078,59,5257.0
3023282078,54,9980.0
3023282078,222,1085938.0
3023282078,80,3403.0
3023282078,99,24954.0
3023282078,4,259628.0
3023282078,498,5976.0
3023282078,24,1616.0
3023282078,17,481822.0
3023234573,31,117256.0
3023234573,120,29262.0
3023234573,4,20045.0
3023234573,236,250429.0
3023234573,267,164898.0
3023234573,29,11265.0
3023234573,62,101906.0
3023234573,67,72897.0
3023234573,84,13873.0
3023234573,143,82036.0
3021254920,67,70847.0
3021254920,6,14537.0
3021254920,238,174835.0
3021254920,59,150539.0
3021254920,99,1863190.0
3021254920,54,11449.0
3021254920,98,20743.0
3021254920,30,11321.0
3021254920,45,93765.0
3021254920,222,51134.0
3021234634,21,88872.0
3021234634,120,20503.0
3021234634,103,19119.0
3021234634,412,501026.0
3021234634,92,123303.0
3021234634,81,17336.0
3021234634,58,459197.0
3021234634,64,47186.0
3021234634,37,36644.0
3021234634,45,21562.0
3021204544,12,69278.0
3021204544,8,17198.0
3021204544,64,8256.0
3021204544,145,57401.0
3021204544,223,318939.0
3021204544,67,527151.0
3021204544,36,18511.0
3021204544,161,332503.0
3021204544,37,609911.0
3021204544,80,304716.0
3021184159,412,186353.0
3021184159,498,13532.0
3021184159,120,6618.0
3021184159,91,26487.0
3021184159,2,931.0
3021184159,53,36442.0
3021184159,62,101906.0
3021184159,161,35796.0
3021184159,104,491939.0
3021184159,145,71692.0
3021137689,30,26824.0
3021137689,62,175351.0
3021137689,39,850.0
3021137689,236,121302.0
3021137689,432,82468.0
3021137689,238,79235.0
3021137689,8,56520.0
3021137689,25,224618.0
3021137689,24,29057.0
3021137689,21,64193.0
3020936854,157,26835.0
3020936854,102,64042.0
3020936854,143,12184.0
3020936854,67,103764.0
3020936854,92,715487.0
3020936854,62,101906.0
3020936854,141,63742.0
3020936854,83,16926.0
3020936854,81,476273.0
3020936854,432,38243.0
3019578030,24,7615.0
3019578030,142,61670.0
3019578030,111,22066.0
3019578030,236,782771.0
3019578030,10,5189.0
3019578030,39,21899.0
3019578030,154,46123.0
3019578030,15,51476.0
3019578030,143,25826.0
3019578030,157,359719.0
3024089727,54,37221.0
3024089727,245,199894.0
3024089727,59,45464.0
3024089727,16,154469.0
3024089727,202,148619.0
3024089727,51,72745.0
3024089727,84,12796.0
3024089727,117,191474.0
